Organisation Name,Industry,Roles Within Company,Location,Jobs Page?,Jobs Page URL,Homepage,About Page,LinkedIn,Notes,Scrape Worthiness,Open to speculative apps,Email for CVs,,,,,
CU Soar,Financial Services / Fintech,Developer,Glasgow,,,,,,,,,,,,,,
Daysix,Creative Industries,Developer,Edinburgh,Y,https://daysix.co/jobs/,https://daysix.co/,https://daysix.co/about/,,,2,Y,hello@daysix.co,,,,,
Deliveroo (formerly Cultivate Software Ltd),FMCG,Developer,Edinburgh,Y,https://careers.deliveroo.co.uk/,https://deliveroo.co.uk/,https://deliveroo.co.uk/about-us,,,1,Y,careers@deliveroo.co.uk,,,,,
Deloitte Digital,Professional Services,Data Engineer; DevOps; Tester,Edinburgh,,,https://www.deloittedigital.co.uk/,,,website is shite but there are vacancies,1,,,,,,,
deltaDNA,Games,Developer; Tester,Edinburgh,Y,https://careers.unity.com/find-position?location=edinburgh,https://deltadna.com/,https://deltadna.com/company/about-us/,https://www.linkedin.com/company/deltadna/,,1,,,,,,,
Designers' Friend Ltd,Creative Industries,Developer,Edinburgh,Y,https://designersfriend.co.uk/page/jobs/,https://designersfriend.co.uk/,https://designersfriend.co.uk/page/about/,,,1,Y,i-want-to-work@designersfriend.co.uk,,,,,Red Hot for Robin - think you'll like the bit on their careers bit
Developing IT,IT Services / Consultancy,Developer; Support,Other,,,,,,,,,,,,,,
Dexra (formerly Spectromax),IT Services / Consultancy,Developer,Edinburgh,Y,https://www.dexrasolutions.com/careers/,https://www.dexrasolutions.com/,https://www.dexrasolutions.com/about-us/,,,3,,,,,,,
Digital Impact,Creative Industries,Developer; FE Developer,Glasgow,,,,,,,,,,,,,,
Drinkly,FMCG,,Edinburgh,N,,https://www.shoply.co.uk/,https://blog.shoply.co.uk/about-us/,,Now called Shoply,,,,,,,,
DSA Practice,IT Services / Consultancy,Developer,Edinburgh,,,,,https://www.linkedin.com/company/dsa-practice-ltd/about/,MIA,,,,,,,,
Dufrain,IT Consultancy,,Edinburgh,Y,https://www.dufrain.co.uk/careers,https://www.dufrain.co.uk/,https://www.dufrain.co.uk/about-us,https://www.linkedin.com/company/dufrain-consulting/,,2,,,,,,,
Duradiamond Software,IT Services / Consultancy,Developer; Support,Other,,,,,,,,,,,,,,
E Fundamentals,FMCG,Developer; DevOps; Product / Project Manager; Tester,Edinburgh,N,,https://www.efundamentals.com/,https://www.efundamentals.com/about-us,https://www.linkedin.com/company/e-fundamentals/,,,,,,,,,
e2c,IT Services / Consultancy,Developer,Fife,,,,,,,,,,,,,,
Edge Testing Solutions Limited,IT Services / Consultancy,Developer; Tester,Glasgow,,,,,,,,,,,,,,
Elastic Creative,Creative Industries,Developer; UX,Edinburgh,Y,https://elasticcreative.co.uk/careers/,https://elasticcreative.co.uk/,,,,2,Y,alex@elasticcreative.co.uk,,,,,
Encompass Corporation,Financial Services / Fintech,Developer,Glasgow,,,,,,,,,,,,,,
Endzone.io LTD,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.happyporch.com/,,https://www.linkedin.com/company/happyporch/,Called happy porch now?,,,,,,,,
ESPC,IT Services / Consultancy,Support,Edinburgh,Y,https://espc.com/news?tag=Careers,https://espc.com/,,,,3,,,,,,,
Etive Technologies Ltd,IT Services / Consultancy,Developer,Edinburgh,N,,https://etive.org/,https://etive.org/about/,https://www.linkedin.com/company/property-log-book/?originalSubdomain=uk,,,,,,,,,
Eureka Solutions Ltd,IT Services / Consultancy,BI Developer; Developer,Glasgow,,,,,,,,,,,,,,
Everyone,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
Evoke IT,IT Services / Consultancy,DevOps; Tester,Edinburgh; Aberdeen,,,,,https://www.linkedin.com/company/evokeit/,MIA,,,,,,,,
Exmos,IT Services / Consultancy,Developer,West Lothian,,,,,,,,,,,,,,
Exscientia,Health Tech,Developer,Dundee,,,,,,,,,,,,,,
Exterity Ltd,Creative Industries,Developer; FE Developer; Support,Fife,,,,,,,,,,,,,,
FarmFlo,AgriTech,Developer,Glasgow,,,,,,,,,,,,,,
FarmHand,AgriTech,Developer,Edinburgh,Y,https://www.farm-hand.in/careers,https://www.farm-hand.in/,,,,02-Mar,Y,info@farm-hand.in,,,,,
FatBuzz,Creative Industries,Developer; FE Developer,Glasgow,,,,,,,,,,,,,,
FD Intelligence,Financial Services / Fintech,Data Analyst; Developer,Edinburgh,,,https://www.fdiintelligence.com/global/Europe/UK/Edinburgh,,,Possibly FDi Intelligence?,,,,,,,,
Fierce Digital,Creative Industries,,Glasgow,,,,,,,,,,,,,,
Findmypast,IT Services / Consultancy,,Dundee,,,,,,,,,,,,,,
Findr,Creative Industries,Developer,Edinburgh,N,,https://findr.me/,https://findr.me/about,,,,,,,,,,
Firefish Software,IT Services / Consultancy,FE Developer; Support; Tester,Glasgow,,,,,,,,,,,,,,
Float App,Financial Services / Fintech,Developer,Edinburgh,Y,https://floatapp.com/careers/,https://floatapp.com/,https://floatapp.com/about-us/,https://www.linkedin.com/company/float_2/,,02-Mar,Y,jobs@floatapp.com,,,,,
Flow Hospitality Training,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.flowhospitalitytraining.co.uk/en/,https://www.flowhospitalitytraining.co.uk/en/about-us/,https://www.linkedin.com/company/flow-hospitality-training-ltd/,,,,,,,,,
For-Sight Guest CRM (Forth Communication Ltd),IT Services / Consultancy,Data Analyst; Developer; Tester,Edinburgh,Y,https://for-sight.co.uk/careers/,https://for-sight.co.uk/,https://for-sight.co.uk/about-for-sight/our-people/,,,2,,,,,,,
Forecast,IT Services / Consultancy,Data Scientist,Edinburgh,,,,,,MIA - terrible google search,,,,,,,,
FreeAgent,Financial Services / Fintech,Developer; Product / Project Manager; Tester; UX,Edinburgh,Y,https://www.freeagent.com/careers/,https://www.freeagent.com/,https://www.freeagent.com/company/,https://www.linkedin.com/company/freeagent/,,2,,,,,,,
Futurematik,IT Services / Consultancy,,Glasgow,,,,,,,,,,,,,,
Gecko Engage,IT Services / Consultancy,Developer; FE Developer; Tester,Edinburgh,Y,https://careers.geckoengage.com/,https://geckoengage.com/,https://geckoengage.com/about-us/,https://www.linkedin.com/company/geckoengage/,,1,Y,hireme@geckoengage.com,,,,,
grapl ltd,IT Services / Consultancy,,Dundee,,,,,,,,,,,,,,
Horisk Leslie Development Ltd,IT Services / Consultancy,Developer; FE Developer,Edinburgh,Y,https://horisk.com/jobs/,https://horisk.com/,https://horisk.com/about/,https://www.linkedin.com/company/horisk-leslie-development-ltd/,"""Although we have no specific vacancies at present, we're always interested in speaking to web developers looking for their next (or even their first) step on their career ladder.""",2,Y,enquiries@horisk.com,,,,,
Howden,Engineering,Data Analyst,,,,,,,MIA,,,,,,,,
Human Resources Intelligence,IT Services / Consultancy,Data Analyst,Dundee,,,,,,,,,,,,,,
Hymans Robertson,Financial Services / Fintech,Developer; Tester,Edinburgh; Glasgow,Y,https://www.cloudonlinerecruitment.co.uk/hymans/Vacancy.aspx?MenuID=6Dqy3cKIDOg,https://www.hymans.co.uk/,,https://www.linkedin.com/company/hymans-robertson/,,02-Mar,,,,,,,
icecream architecture,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
iDelta,IT Services / Consultancy,Developer,Edinburgh,N,,https://idelta.co.uk/,https://idelta.co.uk/about/,https://www.linkedin.com/company/idelta-ltd-/,,,,,,,,,
IES,Professional Services,Developer,Glasgow,,,,,,,,,,,,,,
INDEZ Ltd,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Inoapps,IT Services / Consultancy,Business Analyst; Developer; DevOps; Support; Tester,Aberdeen; West Lothian,,,,,,,,,,,,,,
Intellicore,IT Services / Consultancy,FE Developer,Aberdeen,,,,,,,,,,,,,,
Iomart,IT Services / Consultancy,Developer; Support,Glasgow,,,,,,,,,,,,,,
Jearni Ltd,Creative Industries,,Edinburgh,,,,,,MIA,,,,,,,,
IQ Integrity Limited,Energy / Oil and Gas,,Glasgow,,,,,,,,,,,,,,
IQX,IT Services / Consultancy,Developer,Borders,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
JP Morgan,Financial Services / Fintech,BI Developer; Developer; DevOps,Glasgow,,,,,,,,,,,,,,
KPV Lab,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.kpv-lab.co.uk/jobs/,https://www.kpv-lab.co.uk/,https://www.kpv-lab.co.uk/about/,https://www.linkedin.com/company/kpv-lab-edinburgh/about/,Scrolly website,2,Y,jobs@kpv-lab.co.uk,,,,,
Kyria Ltd,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Layer Systems,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
LBG / Scottish Widows,Financial Services / Fintech,Developer,Edinburgh,Y,https://lbg.wd3.myworkdayjobs.com/lbg_Careers/0/refreshFacet/318c8bb6f553100021d223d9780d30be,https://www.scottishwidows.co.uk/index.html,https://www.scottishwidows.co.uk/about_us/,,,2,,,,,,,
Leading Software Ltd,IT Services / Consultancy,,Edinburgh,,,https://leadingsoftware.co.uk/,,https://www.linkedin.com/company/leading-software-limited/about/,Site down for maintenance,,,,,,,,
Learn to Love Digital,IT Services / Consultancy,,Edinburgh,N,,https://learntolove.digital/,,https://www.linkedin.com/company/learn-to-love-digital/about/,"Scrolly website, all info on one page",,,,,,,,
Leidos,IT Services / Consultancy,Data Analyst; Data Engineer; Developer,Glasgow,,,,,,,,,,,,,,
LiveCode Ltd.,IT Services / Consultancy,Developer,Edinburgh,N,https://livecode.com/about/work-at-livecode/,https://livecode.com/,https://livecode.com/about/,linkedin link broken,,1,Y,cv upload,,,,,
Logicalware,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.logicalware.com/,,https://www.linkedin.com/company/logicalware-ltd/,Are called Puzzel now? https://www.puzzel.com/uk/press-releases/puzzel-acquires-logicalware/,,,,,,,,
Lugo IT,IT Services / Consultancy,,Glasgow; Edinburgh; Dundee; Inverness,N,,https://lugoit.co.uk/,,https://www.linkedin.com/company/lugo/,the about page is individual pages for every employee,,,,,,,,
Lumera Healthcare,Health Tech,Developer,Edinburgh,N,,https://www.lumerahealth.com/,,https://www.linkedin.com/company/lumera-health/about/,start up,2,Y,,,,,,
MagLabs,IT Services / Consultancy,Developer,Edinburgh,N,,https://www.maglabs.net/,https://www.maglabs.net/about-us/,https://www.linkedin.com/company/maglabs/,,2,Y,careers@maglabs.net,,,,,
Mallzee,IT Services / Consultancy,Developer,Edinburgh,Y,https://apply.workable.com/mallzee/,https://mallzee.com/,https://mallzee.com/page/about,,fashion shopping app,,Y,mallzee@jobs.workablemail.com,,,,,
Mantle,Financial Services / Fintech,Developer,Glasgow,,,,,,,,,,,,,,
Mark to Market,Financial Services / Fintech,Developer,Edinburgh,N,,https://marktomarket.io/,https://marktomarket.io/about-marktomarket/,https://www.linkedin.com/company/marktomarket/,Affiliated with CodeBase,,,,,,,,
Mear Technology,IT Services / Consultancy,,West Lothian,,,,,,,,,,,,,,
Memsstar,Manufacturing,,Edinburgh,N,,https://memsstar.com/,https://memsstar.com/company/memsstar-semiconductor-equipment-supplier-overview/,https://www.linkedin.com/company/memsstar-limited/,,,,,,,,,
Merkle Aquila,IT Services / Consultancy,Data Engineer,Edinburgh,Y,https://www.aquilainsight.com/careers-2/,https://www.aquilainsight.com/,https://www.aquilainsight.com/people/,https://www.linkedin.com/company/aquila-insight/,,2,Y,,,,,,
Mesomorphic Ltd,IT Services / Consultancy,Developer,Highlands,,,,,,,,,,,,,,
Metix Medical,Health Tech,Developer; UX,Glasgow,,,,,,,,,,,,,,
Mirador Analytics,Health Tech,Data Scientist,Borders,,,,,,,,,,,,,,
Money Dashboard,Financial Services / Fintech,Business Analyst; Developer; Tester,Edinburgh,Y,https://www.moneydashboard.com/careers#open-positions,https://www.moneydashboard.com/,https://www.moneydashboard.com/our-story,https://www.linkedin.com/company/money-dashboard/,,,,,,,,,
Moon Collider (Kytheria.AI),Games,Developer,Edinburgh,Y,https://www.kythera.ai/recruitment,https://www.kythera.ai/,https://www.kythera.ai/meet-kythera/overview,https://www.linkedin.com/company/moon-collider-ltd/,it's Kythera not Kytheria,2,,,,,,,
Morton Fraser,Legal,Developer,Edinburgh,Y,https://www.morton-fraser.com/work/current-vacancies,https://www.morton-fraser.com/,https://www.morton-fraser.com/about-morton-fraser,https://www.linkedin.com/company/morton-fraser/,,3,,,,,,,
Mott Macdonald,Engineering,Developer,Glasgow,,,,,,,,,,,,,,
MRMBrand,IT Services / Consultancy,UX,Edinburgh,Y,https://www.mrmbrand.com/careers,https://www.mrmbrand.com/,,https://www.linkedin.com/company/mrmglobal/,,2,Y,careers@mrmglobal.com,,,,,
Mucky Puddle,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
National Records of Scotland,Public Sector,Developer; Tester; UX,Edinburgh; Glasgow,N,,https://www.nrscotland.gov.uk/,,,,,,,,,,,
Newspaper Club,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
NHS Education for Scotland,NHS,Developer; Tester,Edinburgh; Glasgow,Y,https://www.nes.scot.nhs.uk/recruitment/nes-vacancies.aspx,https://www.nes.scot.nhs.uk/,https://www.nes.scot.nhs.uk/about-us.aspx,,,2,,,,,,,
NHS Health Scotland,NHS,Developer,Edinburgh; Glasgow,N,,http://www.healthscotland.scot/,http://www.healthscotland.scot/our-organisation/about-us,,,,,,,,,,
NHS National Services Scotland (NHS NSS),NHS,BI Developer; Data Analyst; Tester,Edinburgh; Glasgow,Y,https://nhsnss.org/careers/current-vacancies/,https://nhsnss.org/,https://nhsnss.org/how-nss-works/,https://www.linkedin.com/company/nhsnss/,,02-Mar,,,,,,,
NHS National Services Scotland (NHS NSS) - Public Health & Intelligence,NHS,Data Analyst,Edinburgh; Glasgow,,https://jobs.scot.nhs.uk/,,,,,,,,,,,,
North Ayrshire Council,Public Sector,Business Analyst; Developer,Ayrshire,,,,,,,,,,,,,,
Nucleus Financial,Financial Services / Fintech,Developer,Edinburgh,N,,https://nucleusfinancial.com/client-home,,https://www.linkedin.com/company/nucleus-financial-services/,,,,,,,,,
Nuvven,IT Services / Consultancy,Business Analyst; Developer; UX,Edinburgh; Glasgow,Y,https://nuvven.com/careers/,https://nuvven.com/,https://nuvven.com/about/,https://www.linkedin.com/company/nuvven/,,2,,,,,,,
Ofgem,Public Sector,BI Developer; Data Analyst; Developer; DevOps; Tester; UX,Glasgow,,,,,,,,,,,,,,
Origo,Financial Services / Fintech,Developer; Tester,Edinburgh,N,,https://www.origo.com/,https://www.origo.com/about-us/about-us.aspx,https://www.linkedin.com/company/origo-services-ltd/,,2,,,,,,,
Oxido,IT Services / Consultancy,Developer; UX,Edinburgh; Glasgow,N,,http://oxido.co.uk/,,https://www.linkedin.com/company/oxido-limited/,All info on one scrolling page,3,,,,,,,
Panda Apps,Mobile Dev,Developer,Glasgow,,,,,,,,,,,,,,
Pasabi,Creative Industries,Developer,Edinburgh,Y,https://www.pasabi.com/careers/,https://www.pasabi.com/,https://www.pasabi.com/our-story-leadership-team/,https://www.linkedin.com/company/pasabi/,"No vacancies, just a CV submission",,Y,,,,,,
People's Energy,Energy / Oil and Gas,,Edinburgh,Y,https://peoplesenergy.co.uk/about/work-with-us,https://peoplesenergy.co.uk/,https://peoplesenergy.co.uk/about/why-us,,"2.7 on Google Reviews, 67 ratings ",2,,,,,,,
Pinnacle Business Solutions,IT Services / Consultancy,Developer,Highlands,,,,,,,,,,,,,,
Pixey,Creative Industries,Developer; FE Developer,Edinburgh,Y,https://careers.smartrecruiters.com/oodls,https://oodls.io/,https://oodls.io/About/,,pixey.io redirects to oodls,2,Y,support@oodls.io,,,,,
Pourit Ltd,Mobile Dev,Developer,Edinburgh,Y,http://www.pourit.co.uk/jobs,http://www.pourit.co.uk/,http://www.pourit.co.uk/services,https://www.linkedin.com/company/pourapp/,,2,Y,ian@pourit.co.uk,,,,,
Primate,Creative Industries,Developer,Edinburgh,N,,https://www.primate.co.uk/,,https://www.linkedin.com/company/primate-edinburgh/,,,,,,,,,
Product Guru,IT Services / Consultancy,Developer; DevOps,Glasgow,,,,,,,,,,,,,,
Prudential,Financial Services / Fintech,Data Engineer; Developer; FE Developer,Stirling,,,,,,,,,,,,,,
Pufferfish Displays,Media,Developer,Edinburgh,N,,https://pufferfishdisplays.com/,https://pufferfishdisplays.com/about/,https://www.linkedin.com/company/pufferfish-ltd/,They build crazy interactive globes,,,,,,,,
Pulsion Technology Ltd,IT Services / Consultancy,Business Analyst; Developer; Product / Project Manager,Glasgow,,,,,,,,,,,,,,
Pursuit Marketing,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
PwC,Professional Services,Business Analyst; Data Analyst; Developer; Product / Project Manager; Tester,Edinburgh,Y,https://www.pwc.co.uk/careers.html,https://www.pwc.co.uk/,https://www.pwc.co.uk/who-we-are.html,,Offices all over UK. Careers page is bs,2,,,,,,,
Quarch,Manufacturing,Tester,Inverness,,,,,,,,,,,,,,
QueryClick,IT Services / Consultancy,Developer,Edinburgh,Y,https://www.queryclick.com/careers/,https://www.queryclick.com/,https://www.queryclick.com/about-us/,https://www.linkedin.com/company/queryclick/,,2,Y,recruitment@queryclick.com,,,,,
Quorum Network Resources Ltd,IT Services / Consultancy,Business Analyst; Support,Edinburgh,Y,https://www.qnrl.com/join-us/,https://www.qnrl.com/,https://www.qnrl.com/our-approach/,https://www.linkedin.com/company/quorum-network-resources-ltd/,,2,Y,,,,,,
R3-IoT,IT Services / Consultancy,Developer,Glasgow,,,,,,,,,,,,,,
Radiator Digital,Creative Industries,Developer; FE Developer,Glasgow,,,,,,,,,,,,,,
Red Paint,Creative Industries,Developer,Glasgow,,,,,,,,,,,,,,
